Excavator Cabin
0.2792890000  0.3221310000
0.2795570000  0.4628860000
0.2669260000  0.6223730000
0.2478200000  0.7581510000
0.2159230000  0.9148540000
0.1738570000  1.0692030000
0.1527700000  1.1344430000
0.1671670000  1.1636110000
0.1671670000  1.1907980000
0.0946480000  1.2132760000
0.0076260000  1.2299740000
-0.068049000  1.2359150000
-0.143993000  1.2340950000
-0.231764000  1.2221610000
-0.281109000  1.2107080000
-0.294167000  1.1913870000
-0.284159000  1.1475550000
-0.320285000  1.0703270000
-0.362458000  0.9586860000
-0.390502000  0.8603180000
-0.410946000  0.7600770000
-0.423630000  0.6585520000
-0.428554000  0.5393650000
-0.422774000  0.4201780000
-0.407628000  0.3123910000
-0.397620000  0.3009910000
-0.385043000  0.2975660000
0.2614670000  0.2975660000
0.2743650000  0.3073060000
0.2792890000  0.3221310000
--------------------------
Tracks
DarkGray
-0.198529000  0.2500000000
-0.443539000  0.2280980000
-0.475062000  0.2145580000
-0.501233000  0.1923470000
-0.519750000  0.1635010000
-0.529062000  0.1304790000
-0.528260000  0.0962270000
-0.517502000  0.0636340000
-0.497647000  0.0356440000
-0.470513000  0.0147180000
-0.438455000  0.0026220000
-0.414050000  0.0000000000
0.4140500000  0.0000000000
0.4478740000  0.0050840000
0.4788080000  0.0197490000
0.5040690000  0.0428150000
0.5214630000  0.0723040000
0.5295440000  0.1055400000
0.5275640000  0.1396850000
0.5156830000  0.1717430000
0.4984500000  0.1955050000
0.4715290000  0.2166450000
0.4396320000  0.2290610000
0.2116950000  0.2500000000
--------------------------
Front Mount
DarkGray
0.2792890000  0.3331560000
0.3206060000  0.3331560000
0.3222650000  0.3074130000
0.3322190000  0.2953720000
0.3451710000  0.2917320000
0.4400070000  0.2915720000
0.4560620000  0.3008840000
0.4609860000  0.3072530000
0.5263860000  0.4159500000
0.5268150000  0.4302930000
0.5183050000  0.4446900000
0.5055140000  0.4512720000
0.4919740000  0.4583370000
0.4854440000  0.4719310000
0.4764530000  0.5032930000
0.4606650000  0.5293570000
0.4347620000  0.5536540000
0.4243790000  0.5636620000
0.4206330000  0.5796650000
0.4200440000  0.5963090000
0.4101970000  0.6097960000
0.3944090000  0.6153080000
0.3782990000  0.6108130000
0.3676490000  0.5979150000
0.3662040000  0.5812700000
0.3663110000  0.5637160000
0.3461880000  0.4945160000
0.3206060000  0.4945160000
0.3206060000  0.4628860000
0.2795570000  0.4628860000
--------------------------
Yaw bearing
DarkGray
0.2116950000  0.2975660000
0.2116950000  0.2500000000
-0.198529000  0.2500000000
-0.198529000  0.2975660000
